0x1302,TLS_AES_256_GCM_SHA384,TLS_AES_256_GCM_SHA384,TLSv1.3,any,any,AESGCM(256),AEAD,
0x1303,TLS_CHACHA20_POLY1305_SHA256,TLS_CHACHA20_POLY1305_SHA256,TLSv1.3,any,any,ChaCha20(256),AEAD,
0xCC14,ECDHE-ECDSA-CHACHA20-POLY1305-OLD,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256_OLD,TLSv1.2,ECDH,ECDSA,ChaCha20(256),AEAD,
0xCC13,ECDHE-RSA-CHACHA20-POLY1305-OLD,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,TLSv1.2,ECDH,RSA,ChaCha20(256),AEAD,
0xCC15,DHE-RSA-CHACHA20-POLY1305-OLD,TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256_OLD,TLSv1.2,DH,RSA,ChaCha20(256),AEAD,
0xC030,ECDHE-RSA-AES256-GCM-SHA384,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,TLSv1.2,ECDH,RSA,AESGCM(256),AEAD,
0xC02C,ECDHE-ECDSA-AES256-GCM-SHA384,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,TLSv1.2,ECDH,ECDSA,AESGCM(256),AEAD,
0xC028,ECDHE-RSA-AES256-SHA384,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA384,TLSv1.2,ECDH,RSA,AES(256),SHA384,
0xC024,ECDHE-ECDSA-AES256-SHA384,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA384,TLSv1.2,ECDH,ECDSA,AES(256),SHA384,
0xC014,ECDHE-RSA-AES256-SHA,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,SSLv3,ECDH,RSA,AES(256),SHA1,
0xC00A,ECDHE-ECDSA-AES256-SHA,TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,SSLv3,ECDH,ECDSA,AES(256),SHA1,
0xC022,SRP-DSS-AES-256-CBC-SHA,TLS_SRP_SHA_DSS_WITH_AES_256_CBC_SHA,SSLv3,SRP,DSS,AES(256),SHA1,
0xC021,SRP-RSA-AES-256-CBC-SHA,TLS_SRP_SHA_RSA_WITH_AES_256_CBC_SHA,SSLv3,SRP,RSA,AES(256),SHA1,
0xC020,SRP-AES-256-CBC-SHA,TLS_SRP_SHA_WITH_AES_256_CBC_SHA,SSLv3,SRP,SRP,AES(256),SHA1,
0x00B7,RSA-PSK-AES256-CBC-SHA384,TLS_RSA_PSK_WITH_AES_256_CBC_SHA384,TLSv1,RSAPSK,RSA,AES(256),SHA384,
0x00B3,DHE-PSK-AES256-CBC-SHA384,TLS_DHE_PSK_WITH_AES_256_CBC_SHA384,TLSv1,DHEPSK,PSK,AES(256),SHA384,
0x0091,DHE-PSK-AES256-CBC-SHA,TLS_DHE_PSK_WITH_AES_256_CBC_SHA,SSLv3,DHEPSK,PSK,AES(256),SHA1,
0xC09B,ECDHE-PSK-CAMELLIA256-SHA384,TLS_ECDHE_PSK_WITH_CAMELLIA_256_CBC_SHA384,TLSv1,ECDHEPSK,PSK,Camellia(256),SHA384,
0xC099,RSA-PSK-CAMELLIA256-SHA384,TLS_RSA_PSK_WITH_CAMELLIA_256_CBC_SHA384,TLSv1,RSAPSK,RSA,Camellia(256),SHA384,
0xC097,DHE-PSK-CAMELLIA256-SHA384,TLS_DHE_PSK_WITH_CAMELLIA_256_CBC_SHA384,TLSv1,DHEPSK,PSK,Camellia(256),SHA384,
0x00AF,PSK-AES256-CBC-SHA384,TLS_PSK_WITH_AES_256_CBC_SHA384,TLSv1,PSK,PSK,AES(256),SHA384,
0xC095,PSK-CAMELLIA256-SHA384,TLS_PSK_WITH_CAMELLIA_256_CBC_SHA384,TLSv1,PSK,PSK,Camellia(256),SHA384,
0x00A5,DH-DSS-AES256-GCM-SHA384,TLS_DH_DSS_WITH_AES_256_GCM_SHA384,TLSv1.2,DH/DSS,DH,AESGCM(256),AEAD,
0x00A3,DHE-DSS-AES256-GCM-SHA384,TLS_DHE_DSS_WITH_AES_256_GCM_SHA384,TLSv1.2,DH,DSS,AESGCM(256),AEAD,
0x00A1,DH-RSA-AES256-GCM-SHA384,TLS_DH_RSA_WITH_AES_256_GCM_SHA384,TLSv1.2,DH/RSA,DH,AESGCM(256),AEAD,
0x009F,DHE-RSA-AES256-GCM-SHA384,TLS_DHE_RSA_WITH_AES_256_GCM_SHA384,TLSv1.2,DH,RSA,AESGCM(256),AEAD,
0xCCA9,ECDHE-ECDSA-CHACHA20-POLY1305,TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,TLSv1.2,ECDH,ECDSA,ChaCha20(256),AEAD,
0xCCA8,ECDHE-RSA-CHACHA20-POLY1305,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,TLSv1.2,ECDH,RSA,ChaCha20(256),AEAD,
0xCCAA,DHE-RSA-CHACHA20-POLY1305,TLS_DHE_RSA_WITH_CHACHA20_POLY1305_SHA256,TLSv1.2,DH,RSA,ChaCha20(256),AEAD,
0xC0AF,ECDHE-ECDSA-AES256-CCM8,TLS_ECDHE_ECDSA_WITH_AES_256_CCM_8,TLSv1.2,ECDH,ECDSA,AESCCM8(256),AEAD,
0xC0AD,ECDHE-ECDSA-AES256-CCM,TLS_ECDHE_ECDSA_WITH_AES_256_CCM,TLSv1.2,ECDH,ECDSA,AESCCM(256),AEAD,
0xC0A3,DHE-RSA-AES256-CCM8,TLS_DHE_RSA_WITH_AES_256_CCM_8,TLSv1.2,DH,RSA,AESCCM8(256),AEAD,
0xC09F,DHE-RSA-AES256-CCM,TLS_DHE_RSA_WITH_AES_256_CCM,TLSv1.2,DH,RSA,AESCCM(256),AEAD,
0x006B,DHE-RSA-AES256-SHA256,TLS_DHE_RSA_WITH_AES_256_CBC_SHA256,TLSv1.2,DH,RSA,AES(256),SHA256,
0x006A,DHE-DSS-AES256-SHA256,TLS_DHE_DSS_WITH_AES_256_CBC_SHA256,TLSv1.2,DH,DSS,AES(256),SHA256,
0x0069,DH-RSA-AES256-SHA256,TLS_DH_RSA_WITH_AES_256_CBC_SHA256,TLSv1.2,DH/RSA,DH,AES(256),SHA256,
0x0068,DH-DSS-AES256-SHA256,TLS_DH_DSS_WITH_AES_256_CBC_SHA256,TLSv1.2,DH/DSS,DH,AES(256),SHA256,
0x0039,DHE-RSA-AES256-SHA,TLS_DHE_RSA_WITH_AES_256_CBC_SHA,SSLv3,DH,RSA,AES(256),SHA1,
0x0038,DHE-DSS-AES256-SHA,TLS_DHE_DSS_WITH_AES_256_CBC_SHA,SSLv3,DH,DSS,AES(256),SHA1,
0x0037,DH-RSA-AES256-SHA,TLS_DH_RSA_WITH_AES_256_CBC_SHA,SSLv3,DH/RSA,DH,AES(256),SHA1,
0x0036,DH-DSS-AES256-SHA,TLS_DH_DSS_WITH_AES_256_CBC_SHA,SSLv3,DH/DSS,DH,AES(256),SHA1,
0xC077,ECDHE-RSA-CAMELLIA256-SHA384,TLS_ECDHE_RSA_WITH_CAMELLIA_256_CBC_SHA384,TLSv1.2,ECDH,RSA,Camellia(256),SHA384,
0xC073,ECDHE-ECDSA-CAMELLIA256-SHA384,TLS_ECDHE_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,TLSv1.2,ECDH,ECDSA,Camellia(256),SHA384,
0x00C4,DHE-RSA-CAMELLIA256-SHA256,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA256,TLSv1.2,DH,RSA,Camellia(256),SHA256,
0x00C3,DHE-DSS-CAMELLIA256-SHA256,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA256,TLSv1.2,DH,DSS,Camellia(256),SHA256,
0x00C2,DH-RSA-CAMELLIA256-SHA256,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA256,TLSv1.2,DH/RSA,DH,Camellia(256),SHA256,
0x00C1,DH-DSS-CAMELLIA256-SHA256,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA256,TLSv1.2,DH/DSS,DH,Camellia(256),SHA256,
0x0088,DHE-RSA-CAMELLIA256-SHA,TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA,SSLv3,DH,RSA,Camellia(256),SHA1,
0x0087,DHE-DSS-CAMELLIA256-SHA,TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA,SSLv3,DH,DSS,Camellia(256),SHA1,
0x0086,DH-RSA-CAMELLIA256-SHA,TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA,SSLv3,DH/RSA,DH,Camellia(256),SHA1,
0x0085,DH-DSS-CAMELLIA256-SHA,TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA,SSLv3,DH/DSS,DH,Camellia(256),SHA1,
0xC019,AECDH-AES256-SHA,TLS_ECDH_anon_WITH_AES_256_CBC_SHA,SSLv3,ECDH,None,AES(256),SHA1,
0x00A7,ADH-AES256-GCM-SHA384,TLS_DH_anon_WITH_AES_256_GCM_SHA384,TLSv1.2,DH,None,AESGCM(256),AEAD,
0x006D,ADH-AES256-SHA256,TLS_DH_anon_WITH_AES_256_CBC_SHA256,TLSv1.2,DH,None,AES(256),SHA256,
0x003A,ADH-AES256-SHA,TLS_DH_anon_WITH_AES_256_CBC_SHA,SSLv3,DH,None,AES(256),SHA1,
0x00C5,ADH-CAMELLIA256-SHA256,TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA256,TLSv1.2,DH,None,Camellia(256),SHA256,
0x0089,ADH-CAMELLIA256-SHA,TLS_DH_anon_WITH_CAMELLIA_256_CBC_SHA,SSLv3,DH,None,Camellia(256),SHA1,
0x00AD,RSA-PSK-AES256-GCM-SHA384,TLS_RSA_PSK_WITH_AES_256_GCM_SHA384,TLSv1.2,RSAPSK,RSA,AESGCM(256),AEAD,
0x00AB,DHE-PSK-AES256-GCM-SHA384,TLS_DHE_PSK_WITH_AES_256_GCM_SHA384,TLSv1.2,DHEPSK,PSK,AESGCM(256),AEAD,
0xCCAE,RSA-PSK-CHACHA20-POLY1305,TLS_RSA_PSK_WITH_CHACHA20_POLY1305_SHA256,TLSv1.2,RSAPSK,RSA,ChaCha20(256),AEAD,
0xCCAD,DHE-PSK-CHACHA20-POLY1305,TLS_DHE_PSK_WITH_CHACHA20_POLY1305_SHA256,TLSv1.2,DHEPSK,PSK,ChaCha20(256),AEAD,
0xCCAC,ECDHE-PSK-CHACHA20-POLY1305,TLS_ECDHE_PSK_WITH_CHACHA20_POLY1305_SHA256,TLSv1.2,ECDHEPSK,PSK,ChaCha20(256),AEAD,
0xC0AB,DHE-PSK-AES256-CCM8,TLS_PSK_DHE_WITH_AES_256_CCM_8,TLSv1.2,DHEPSK,PSK,AESCCM8(256),AEAD,
0xC0A7,DHE-PSK-AES256-CCM,TLS_DHE_PSK_WITH_AES_256_CCM,TLSv1.2,DHEPSK,PSK,AESCCM(256),AEAD,
0xC032,ECDH-RSA-AES256-GCM-SHA384,TLS_ECDH_RSA_WITH_AES_256_GCM_SHA384,TLSv1.2,ECDH/RSA,ECDH,AESGCM(256),AEAD,
0xC02E,ECDH-ECDSA-AES256-GCM-SHA384,TLS_ECDH_ECDSA_WITH_AES_256_GCM_SHA384,TLSv1.2,ECDH/ECDSA,ECDH,AESGCM(256),AEAD,
0xC02A,ECDH-RSA-AES256-SHA384,TLS_ECDH_RSA_WITH_AES_256_CBC_SHA384,TLSv1.2,ECDH/RSA,ECDH,AES(256),SHA384,
0xC026,ECDH-ECDSA-AES256-SHA384,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA384,TLSv1.2,ECDH/ECDSA,ECDH,AES(256),SHA384,
0xC00F,ECDH-RSA-AES256-SHA,TLS_ECDH_RSA_WITH_AES_256_CBC_SHA,SSLv3,ECDH/RSA,ECDH,AES(256),SHA1,
0xC005,ECDH-ECDSA-AES256-SHA,TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA,SSLv3,ECDH/ECDSA,ECDH,AES(256),SHA1,
0xC079,ECDH-RSA-CAMELLIA256-SHA384,TLS_ECDH_RSA_WITH_CAMELLIA_256_CBC_SHA384,TLSv1.2,ECDH/RSA,ECDH,Camellia(256),SHA384,
0xC075,ECDH-ECDSA-CAMELLIA256-SHA384,TLS_ECDH_ECDSA_WITH_CAMELLIA_256_CBC_SHA384,TLSv1.2,ECDH/ECDSA,ECDH,Camellia(256),SHA384,
0x009D,AES256-GCM-SHA384,TLS_RSA_WITH_AES_256_GCM_SHA384,TLSv1.2,RSA,RSA,AESGCM(256),AEAD,
0xC0A1,AES256-CCM8,TLS_RSA_WITH_AES_256_CCM_8,TLSv1.2,RSA,RSA,AESCCM8(256),AEAD,
0xC09D,AES256-CCM,TLS_RSA_WITH_AES_256_CCM,TLSv1.2,RSA,RSA,AESCCM(256),AEAD,
0x00A9,PSK-AES256-GCM-SHA384,TLS_PSK_WITH_AES_256_GCM_SHA384,TLSv1.2,PSK,PSK,AESGCM(256),AEAD,
0xCCAB,PSK-CHACHA20-POLY1305,TLS_PSK_WITH_CHACHA20_POLY1305_SHA256,TLSv1.2,PSK,PSK,ChaCha20(256),AEAD,
0xC0A9,PSK-AES256-CCM8,TLS_PSK_WITH_AES_256_CCM_8,TLSv1.2,PSK,PSK,AESCCM8(256),AEAD,
0xC0A5,PSK-AES256-CCM,TLS_PSK_WITH_AES_256_CCM,TLSv1.2,PSK,PSK,AESCCM(256),AEAD,
0x003D,AES256-SHA256,TLS_RSA_WITH_AES_256_CBC_SHA256,TLSv1.2,RSA,RSA,AES(256),SHA256,
0x0035,AES256-SHA,TLS_RSA_WITH_AES_256_CBC_SHA,SSLv3,RSA,RSA,AES(256),SHA1,
0x00C0,CAMELLIA256-SHA256,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA256,TLSv1.2,RSA,RSA,Camellia(256),SHA256,
0xC038,ECDHE-PSK-AES256-CBC-SHA384,TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA384,TLSv1,ECDHEPSK,PSK,AES(256),SHA384,
0xC036,ECDHE-PSK-AES256-CBC-SHA,TLS_ECDHE_PSK_WITH_AES_256_CBC_SHA,SSLv3,ECDHEPSK,PSK,AES(256),SHA1,
0x0084,CAMELLIA256-SHA,TLS_RSA_WITH_CAMELLIA_256_CBC_SHA,SSLv3,RSA,RSA,Camellia(256),SHA1,
0x0095,RSA-PSK-AES256-CBC-SHA,TLS_RSA_PSK_WITH_AES_256_CBC_SHA,SSLv3,RSAPSK,RSA,AES(256),SHA1,
0x008D,PSK-AES256-CBC-SHA,TLS_PSK_WITH_AES_256_CBC_SHA,SSLv3,PSK,PSK,AES(256),SHA1,
0xC03D,ARIA256-CBC-SHA384,TLS_RSA_WITH_ARIA_256_CBC_SHA384,TLSv1.2,RSA,RSA,ARIA(256),SHA384,
0xC03F,,TLS_DH_DSS_WITH_ARIA_256_CBC_SHA384,TLSv1.2,DH/DSS,DH,ARIA(256),SHA384,
0xC041,,TLS_DH_RSA_WITH_ARIA_256_CBC_SHA384,TLSv1.2,DH/RSA,DH,ARIA(256),SHA384,
0xC043,DHE-DSS-ARIA256-CBC-SHA384,TLS_DHE_DSS_WITH_ARIA_256_CBC_SHA384,TLSv1.2,DH,DSS,ARIA(256),SHA384,
0xC045,DHE-RSA-ARIA256-CBC-SHA384,TLS_DHE_RSA_WITH_ARIA_256_CBC_SHA384,TLSv1.2,DH,RSA,ARIA(256),SHA384,
0xC047,DH-anon-ARIA256-CBC-SHA384,TLS_DH_anon_WITH_ARIA_256_CBC_SHA384,TLSv1.2,DH,None,ARIA(256),SHA384,
0xC049,ECDHE-ECDSA-ARIA256-CBC-SHA384,TLS_ECDHE_ECDSA_WITH_ARIA_256_CBC_SHA384,TLSv1.2,ECDH,ECDSA,ARIA(256),SHA384,
0xC04B,,TLS_ECDH_ECDSA_WITH_ARIA_256_CBC_SHA384,TLSv1.2,ECDH/ECDSA,ECDH,ARIA(256),SHA384,
0xC04D,ECDHE-RSA-ARIA256-CBC-SHA384,TLS_ECDHE_RSA_WITH_ARIA_256_CBC_SHA384,TLSv1.2,ECDH,RSA,ARIA(256),SHA384,
0xC04F,,TLS_ECDH_RSA_WITH_ARIA_256_CBC_SHA384,TLSv1.2,ECDH/RSA,ECDH,ARIA(256),SHA384,
0xC051,ARIA256-GCM-SHA384,TLS_RSA_WITH_ARIA_256_GCM_SHA384,TLSv1.2,RSA,RSA,ARIAGCM(256),AEAD,
0xC053,DHE-RSA-ARIA256-GCM-SHA384,TLS_DHE_RSA_WITH_ARIA_256_GCM_SHA384,TLSv1.2,DH,RSA,ARIAGCM(256),AEAD,
0xC055,DH-RSA-ARIA256-GCM-SHA384,TLS_DH_RSA_WITH_ARIA_256_GCM_SHA384,TLSv1.2,DH/RSA,DH,ARIAGCM(256),AEAD,
0xC057,DHE-DSS-ARIA256-GCM-SHA384,TLS_DHE_DSS_WITH_ARIA_256_GCM_SHA384,TLSv1.2,DH,DSS,ARIAGCM(256),AEAD,
0xC059,DH-DSS-ARIA256-GCM-SHA384,TLS_DH_DSS_WITH_ARIA_256_GCM_SHA384,TLSv1.2,DH/DSS,DH,ARIAGCM(256),AEAD,
0xC05B,ADH-ARIA256-GCM-SHA384,TLS_DH_anon_WITH_ARIA_256_GCM_SHA384,TLSv1.2,DH,None,ARIAGCM(256),AEAD,
0xC05D,ECDHE-ECDSA-ARIA256-GCM-SHA384,TLS_ECDHE_ECDSA_WITH_ARIA_256_GCM_SHA384,TLSv1.2,ECDH,ECDSA,ARIAGCM(256),AEAD,
0xC05F,ECDH-ECDSA-ARIA256-GCM-SHA384,TLS_ECDH_ECDSA_WITH_ARIA_256_GCM_SHA384,TLSv1.2,ECDH/ECDSA,ECDH,ARIAGCM(256),AEAD,
0xC061,ECDHE-ARIA256-GCM-SHA384,TLS_ECDHE_RSA_WITH_ARIA_256_GCM_SHA384,TLSv1.2,ECDH,RSA,ARIAGCM(256),AEAD,
0xC063,ECDH-ARIA256-GCM-SHA384,TLS_ECDH_RSA_WITH_ARIA_256_GCM_SHA384,TLSv1.2,ECDH/RSA,ECDH,ARIAGCM(256),AEAD,
0xC065,,TLS_PSK_WITH_ARIA_256_CBC_SHA384,TLSv1,PSK,PSK,ARIA(256),SHA384,
0xC067,,TLS_DHE_PSK_WITH_ARIA_256_CBC_SHA384,TLSv1,DHEPSK,PSK,ARIA(256),SHA384,
0xC069,,TLS_RSA_PSK_WITH_ARIA_256_CBC_SHA384,TLSv1,RSAPSK,RSA,ARIA(256),SHA384,
0xC06B,PSK-ARIA256-GCM-SHA384,TLS_PSK_WITH_ARIA_256_GCM_SHA384,TLSv1.2,PSK,PSK,ARIAGCM(256),AEAD,
0xC06D,DHE-PSK-ARIA256-GCM-SHA384,TLS_DHE_PSK_WITH_ARIA_256_GCM_SHA384,TLSv1.2,DHEPSK,PSK,ARIAGCM(256),AEAD,
0xC06F,RSA-PSK-ARIA256-GCM-SHA384,TLS_RSA_PSK_WITH_ARIA_256_GCM_SHA384,TLSv1.2,RSAPSK,RSA,ARIAGCM(256),AEAD,
0xC071,,TLS_ECDHE_PSK_WITH_ARIA_256_CBC_SHA384,TLSv1,ECDHEPSK,PSK,ARIA(256),SHA384,
0xC07B,,TLS_RSA_WITH_CAMELLIA_256_GCM_SHA384,TLSv1.2,RSA,RSA,CamelliaGCM(256),AEAD,
